method,dataset,scene,traj,variant,n_frames,eff_fps,latency_end_to_end_s,latency_source,per_window_latency_med_s,per_window_source,vram_avg_gb,vram_peak_gb,gpu_util_avg_pct,gpu_power_avg_w,cpu_ram_peak_gb,ckpt_size_mb,gpu_name,hw_id,ate_rmse_m,rpe_per_m,metric_capable,scale_estimate,metric_scale_error_pct,extent_error_pct,masked_accuracy_m,masked_completeness_m,masked_chamfer_m,masked_fscore,full360_accuracy_m,full360_completeness_m,full360_chamfer_m,full360_fscore,point_count,map_size_mb,sor_outlier_pct,acc_p95_m,noise_frac,precision_tight,source
laser,replica,hotel_0,loop_2.0hz_s0,synthetic_fov,44.0,3.85,3.522,archive_unspecified,,unavailable,3.447,8.397,10.9,121.4,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.34,0.345,False,,,,0.23199999999999998,0.419,0.65,0.169,0.198,0.598,0.7959999999999999,0.149,242056.0,3.6,0.025,0.534,0.713,0.073,archive:bigrun_2026-07
laser,replica,hotel_0,stopgo_2.0hz_s1,synthetic_fov,59.0,4.807,4.026,archive_unspecified,,unavailable,3.597,8.363,13.2,138.1,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,1.189,1.4480000000000002,False,,,,0.261,1.7469999999999999,2.0069999999999997,0.07,4.878,1.661,6.54,0.039,154408.0,2.3,0.028999999999999998,0.626,0.6970000000000001,0.064,archive:bigrun_2026-07
laser,replica,hotel_0,synthetic_2.0hz_s1,synthetic_fov,39.0,3.671,2.991,archive_unspecified,,unavailable,3.287,8.397,3.4,116.8,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,1.57,0.9440000000000001,False,,,,0.276,1.7990000000000002,2.075,0.07,0.426,1.608,2.035,0.058,281603.0,4.2,0.03,0.595,0.767,0.046,archive:bigrun_2026-07
laser,replica,hotel_0,stopgo_2.0hz_s0,synthetic_fov,57.0,4.626,4.124,archive_unspecified,,unavailable,3.69,8.397,13.8,130.6,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.35600000000000004,0.349,False,,,,0.23,0.574,0.804,0.214,0.243,0.721,0.9640000000000001,0.148,213881.0,3.2,0.024,0.818,0.616,0.095,archive:bigrun_2026-07
laser,replica,hotel_0,synthetic_0.5hz_s0,synthetic_fov,10.0,1.32,1.163,archive_unspecified,,unavailable,2.193,8.042,4.0,79.3,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.27899999999999997,0.349,False,,,,0.055999999999999994,0.079,0.135,0.619,0.10099999999999999,0.645,0.745,0.338,70989.0,1.1,0.025,0.174,0.132,0.293,archive:bigrun_2026-07
laser,replica,hotel_0,synthetic_0.5hz_s1,synthetic_fov,10.0,1.295,1.234,archive_unspecified,,unavailable,2.203,8.042,1.8,80.8,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.6409999999999999,0.8190000000000001,False,,,,0.109,0.166,0.275,0.353,0.14,0.203,0.34299999999999997,0.277,120563.0,1.8,0.028999999999999998,0.359,0.377,0.151,archive:bigrun_2026-07
laser,replica,hotel_0,synthetic_5.0hz_s1,synthetic_fov,97.0,6.184,6.315,archive_unspecified,,unavailable,4.254,8.558,10.1,151.0,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.6890000000000001,0.733,False,,,,0.2,0.35100000000000003,0.55,0.19,0.7879999999999999,0.345,1.1320000000000001,0.111,250330.0,3.8,0.025,0.528,0.62,0.114,archive:bigrun_2026-07
laser,replica,hotel_0,synthetic_2.0hz_s0,synthetic_fov,37.0,3.548,2.905,archive_unspecified,,unavailable,3.199,8.397,11.4,110.0,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.342,0.331,False,,,,0.228,0.648,0.877,0.226,0.223,0.737,0.96,0.158,197652.0,3.0,0.023,0.7559999999999999,0.5920000000000001,0.113,archive:bigrun_2026-07
laser,replica,hotel_0,synthetic_5.0hz_s0,synthetic_fov,93.0,5.767,6.275,archive_unspecified,,unavailable,4.176,8.416,13.5,148.6,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.23600000000000002,0.284,False,,,,0.16899999999999998,0.336,0.506,0.374,0.153,0.408,0.561,0.279,336764.0,5.0,0.028999999999999998,0.687,0.40399999999999997,0.174,archive:bigrun_2026-07
laser,replica,hotel_0,loop_2.0hz_s1,synthetic_fov,60.0,4.818,4.219,archive_unspecified,,unavailable,3.739,8.39,14.4,135.8,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,1.3559999999999999,0.831,False,,,,0.26,0.5379999999999999,0.797,0.197,0.5429999999999999,0.504,1.047,0.168,432089.0,6.5,0.032,0.731,0.6709999999999999,0.08199999999999999,archive:bigrun_2026-07
