method,dataset,scene,traj,variant,n_frames,eff_fps,latency_end_to_end_s,per_window_latency_med_s,vram_avg_gb,vram_peak_gb,gpu_util_avg_pct,gpu_power_avg_w,cpu_ram_peak_gb,ckpt_size_mb,tsdf_block_count,gpu_name,gpu_total_gb,hw_id
panovggt,replica,frl_apartment_0,loop_2.0hz_s1,pano,74,2.793,12.486,12.4858,15.36,24.117,48.9,323.7,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,apartment_1,loop_2.0hz_s0,pano,84,2.767,15.349,15.3486,17.176,26.093,49.8,335.0,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,apartment_1,stopgo_2.0hz_s1,pano,90,2.805,17.707,17.7067,18.634,27.271,55.4,363.4,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,apartment_1,synthetic_2.0hz_s1,pano,70,2.877,11.156,11.1562,14.506,23.339,45.1,310.2,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,apartment_1,stopgo_2.0hz_s0,pano,67,2.774,10.589,10.5887,13.182,24.245,44.5,305.8,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,apartment_1,synthetic_0.5hz_s0,pano,12,1.114,0.91,0.9103,3.345,12.201,8.2,100.8,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,apartment_1,synthetic_0.5hz_s1,pano,18,1.493,1.494,1.4944,4.179,13.514,14.2,130.6,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,apartment_1,synthetic_5.0hz_s1,pano,175,2.154,60.843,60.8435,35.508,43.985,74.7,467.6,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,apartment_1,synthetic_2.0hz_s0,pano,47,2.51,5.808,5.8081,9.105,19.866,31.0,229.9,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,apartment_1,synthetic_5.0hz_s0,pano,116,2.564,27.959,27.9592,23.498,32.378,60.8,397.6,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,apartment_1,loop_2.0hz_s1,pano,96,2.784,19.674,19.6741,19.919,28.443,56.8,372.6,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,hotel_0,loop_2.0hz_s0,pano,44,2.532,5.323,5.3235,8.926,19.212,29.9,233.9,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,hotel_0,stopgo_2.0hz_s1,pano,59,2.762,8.613,8.6134,12.043,21.177,40.6,287.0,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,hotel_0,synthetic_2.0hz_s1,pano,39,2.436,4.442,4.4419,8.001,18.109,26.2,216.4,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,hotel_0,stopgo_2.0hz_s0,pano,57,2.694,8.15,8.1497,11.564,20.778,37.6,275.6,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,hotel_0,synthetic_0.5hz_s0,pano,10,0.928,0.753,0.7531,2.969,11.763,7.8,89.8,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,hotel_0,synthetic_0.5hz_s1,pano,10,0.969,0.763,0.763,3.173,11.763,7.6,95.7,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,hotel_0,synthetic_5.0hz_s1,pano,97,2.715,20.628,20.6281,20.069,28.638,57.0,380.3,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,hotel_0,synthetic_2.0hz_s0,pano,37,2.23,4.044,4.0439,7.183,16.844,25.6,194.3,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,hotel_0,synthetic_5.0hz_s0,pano,93,2.74,19.035,19.0346,19.394,27.858,56.2,369.6,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,hotel_0,loop_2.0hz_s1,pano,60,2.789,8.812,8.8116,12.49,21.366,41.0,288.6,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,apartment_0,loop_2.0hz_s0,pano,89,2.648,16.907,16.9066,17.383,29.073,49.6,336.0,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,apartment_0,stopgo_2.0hz_s1,pano,99,2.744,20.747,20.7474,20.307,29.037,56.9,378.5,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,apartment_0,synthetic_2.0hz_s1,pano,79,2.865,13.611,13.6107,16.189,25.105,49.9,328.8,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,apartment_0,stopgo_2.0hz_s0,pano,90,2.773,17.553,17.553,18.455,27.271,54.8,362.9,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,apartment_0,synthetic_0.5hz_s0,pano,18,1.533,1.465,1.4647,4.219,13.514,13.8,116.8,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,apartment_0,synthetic_0.5hz_s1,pano,20,1.64,1.709,1.7087,4.535,13.503,15.6,135.5,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,apartment_0,synthetic_2.0hz,pano,70,2.586,11.643,11.6428,75.772,85.394,44.1,300.1,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
